Periodo;Ano;Mes;Atrativo;Adulto;Meia;Registro_original
2024-12;2024;Dez;Mini Mundo;0.00;0.00;Não
2024-12;2024;Dez;Olivas de Gramado;0.00;0.00;Não
2024-12;2024;Dez;Parque do Caracol;0.00;0.00;Não
2024-12;2024;Dez;Pé da Cascata;0.00;0.00;Não
2024-12;2024;Dez;Skyglass;0.00;0.00;Não
2024-12;2024;Dez;Snowland;0.00;0.00;Não
2025-01;2025;Jan;Alpen Park;0.00;0.00;Não
2025-01;2025;Jan;Bondinhos Aéreos;0.00;0.00;Não
2025-01;2025;Jan;Florybal;0.00;0.00;Não
2025-01;2025;Jan;Le Jardin;0.00;0.00;Não
2025-01;2025;Jan;Mini Mundo;0.00;0.00;Não
2025-01;2025;Jan;Olivas de Gramado;0.00;0.00;Não
2025-01;2025;Jan;Parque do Caracol;0.00;0.00;Não
2025-01;2025;Jan;Pé da Cascata;0.00;0.00;Não
2025-01;2025;Jan;Skyglass;0.00;0.00;Não
2025-01;2025;Jan;Snowland;0.00;0.00;Não
2025-02;2025;Fev;Alpen Park;0.00;0.00;Não
2025-02;2025;Fev;Bondinhos Aéreos;90.00;0.00;Sim
2025-02;2025;Fev;Florybal;150.00;75.00;Sim
2025-02;2025;Fev;Le Jardin;0.00;0.00;Não
2025-02;2025;Fev;Mini Mundo;0.00;0.00;Não
2025-02;2025;Fev;Olivas de Gramado;129.00;0.00;Sim
2025-02;2025;Fev;Parque do Caracol;0.00;0.00;Não
2025-02;2025;Fev;Pé da Cascata;0.00;0.00;Não
2025-02;2025;Fev;Skyglass;145.00;0.00;Sim
2025-02;2025;Fev;Snowland;209.90;129.50;Sim
2025-03;2025;Mar;Alpen Park;0.00;0.00;Não
2025-03;2025;Mar;Bondinhos Aéreos;0.00;0.00;Não
2025-03;2025;Mar;Florybal;0.00;0.00;Não
2025-03;2025;Mar;Le Jardin;0.00;0.00;Não
2025-03;2025;Mar;Mini Mundo;0.00;0.00;Não
2025-03;2025;Mar;Olivas de Gramado;0.00;0.00;Não
2025-03;2025;Mar;Parque do Caracol;0.00;0.00;Não
2025-03;2025;Mar;Pé da Cascata;0.00;0.00;Não
2025-03;2025;Mar;Skyglass;0.00;0.00;Não
2025-03;2025;Mar;Snowland;0.00;0.00;Não
2025-04;2025;Abr;Alpen Park;128.90;0.00;Sim
2025-04;2025;Abr;Bondinhos Aéreos;100.00;0.00;Sim
2025-04;2025;Abr;Florybal;150.00;75.00;Sim
2025-04;2025;Abr;Le Jardin;30.00;0.00;Sim
2025-04;2025;Abr;Mini Mundo;88.00;58.00;Sim
2025-04;2025;Abr;Olivas de Gramado;101.40;0.00;Sim
2025-04;2025;Abr;Parque do Caracol;0.00;0.00;Não
2025-04;2025;Abr;Pé da Cascata;198.00;0.00;Sim
2025-04;2025;Abr;Skyglass;170.00;0.00;Sim
2025-04;2025;Abr;Snowland;259.00;164.50;Sim
2025-05;2025;Mai;Alpen Park;0.00;0.00;Não
2025-05;2025;Mai;Bondinhos Aéreos;0.00;0.00;Não
2025-05;2025;Mai;Florybal;0.00;0.00;Não
2025-05;2025;Mai;Le Jardin;0.00;0.00;Não
2025-05;2025;Mai;Mini Mundo;0.00;0.00;Não
2025-05;2025;Mai;Olivas de Gramado;0.00;0.00;Não
2025-05;2025;Mai;Parque do Caracol;0.00;0.00;Não
2025-05;2025;Mai;Pé da Cascata;0.00;0.00;Não
2025-05;2025;Mai;Skyglass;0.00;0.00;Não
2025-05;2025;Mai;Snowland;0.00;0.00;Não
2025-06;2025;Jun;Alpen Park;128.90;0.00;Sim
2025-06;2025;Jun;Bondinhos Aéreos;100.00;0.00;Sim
2025-06;2025;Jun;Florybal;150.00;75.00;Sim
2025-06;2025;Jun;Le Jardin;30.00;0.00;Sim
2025-06;2025;Jun;Mini Mundo;88.00;58.00;Sim
2025-06;2025;Jun;Olivas de Gramado;101.40;0.00;Sim
2025-06;2025;Jun;Parque do Caracol;0.00;0.00;Não
2025-06;2025;Jun;Pé da Cascata;198.00;0.00;Sim
2025-06;2025;Jun;Skyglass;170.00;0.00;Sim
2025-06;2025;Jun;Snowland;259.00;164.50;Sim
2025-07;2025;Jul;Alpen Park;138.90;0.00;Sim
2025-07;2025;Jul;Bondinhos Aéreos;120.00;0.00;Sim
2025-07;2025;Jul;Florybal;150.00;75.00;Sim
2025-07;2025;Jul;Le Jardin;30.00;0.00;Sim
2025-07;2025;Jul;Mini Mundo;98.00;58.00;Sim
2025-07;2025;Jul;Olivas de Gramado;118.30;0.00;Sim
2025-07;2025;Jul;Parque do Caracol;0.00;0.00;Não
2025-07;2025;Jul;Pé da Cascata;198.00;0.00;Sim
2025-07;2025;Jul;Skyglass;170.00;0.00;Sim
2025-07;2025;Jul;Snowland;279.90;164.50;Sim
2025-08;2025;Ago;Alpen Park;138.90;0.00;Sim
